gameId,playId,nflId,displayName,frameId,time,jerseyNumber,club,playDirection,x,y,s,a,dis,o,dir,event,possessionTeam,defensiveTeam,passResult,gameDate,homeTeamAbbr,visitorTeamAbbr
2022090800,2072,35472.0,Rodger Saffold,1,2022-09-08 21:57:52.099999,76.0,BUF,left,57.14,21.92,0.0,0.0,0.0,282.33,212.97,,BUF,LA,,09/08/2022,LA,BUF
2022090800,2072,35472.0,Rodger Saffold,2,2022-09-08 21:57:52.200000,76.0,BUF,left,57.14,21.92,0.0,0.0,0.0,281.57,212.66,,BUF,LA,,09/08/2022,LA,BUF
2022090800,2072,35472.0,Rodger Saffold,3,2022-09-08 21:57:52.299999,76.0,BUF,left,57.13,21.91,0.0,0.0,0.01,281.57,211.4,,BUF,LA,,09/08/2022,LA,BUF
2022090800,2072,35472.0,Rodger Saffold,4,2022-09-08 21:57:52.400000,76.0,BUF,left,57.13,21.91,0.0,0.0,0.0,280.79,209.9,,BUF,LA,,09/08/2022,LA,BUF
2022090800,2072,35472.0,Rodger Saffold,5,2022-09-08 21:57:52.500000,76.0,BUF,left,57.14,21.91,0.0,0.0,0.0,280.79,209.85,,BUF,LA,,09/08/2022,LA,BUF
2022090800,2072,35472.0,Rodger Saffold,6,2022-09-08 21:57:52.599999,76.0,BUF,left,57.14,21.91,0.0,0.01,0.0,280.79,203.76,ball_snap,BUF,LA,,09/08/2022,LA,BUF
2022090800,2072,35472.0,Rodger Saffold,7,2022-09-08 21:57:52.700000,76.0,BUF,left,57.14,21.9,0.04,0.54,0.01,278.18,177.75,,BUF,LA,,09/08/2022,LA,BUF
2022090800,2072,35472.0,Rodger Saffold,8,2022-09-08 21:57:52.799999,76.0,BUF,left,57.14,21.88,0.23,1.51,0.02,274.68,179.49,,BUF,LA,,09/08/2022,LA,BUF
2022090800,2072,35472.0,Rodger Saffold,9,2022-09-08 21:57:52.900000,76.0,BUF,left,57.13,21.84,0.5,2.18,0.04,272.62,182.15,,BUF,LA,,09/08/2022,LA,BUF
2022090800,2072,35472.0,Rodger Saffold,10,2022-09-08 21:57:53.000000,76.0,BUF,left,57.13,21.75,0.88,2.47,0.08,270.52,184.46,,BUF,LA,,09/08/2022,LA,BUF
2022090800,2072,35472.0,Rodger Saffold,11,2022-09-08 21:57:53.099999,76.0,BUF,left,57.11,21.62,1.29,2.45,0.13,267.23,186.99,,BUF,LA,,09/08/2022,LA,BUF
2022090800,2072,35472.0,Rodger Saffold,12,2022-09-08 21:57:53.200000,76.0,BUF,left,57.08,21.45,1.72,2.63,0.18,268.7,188.46,,BUF,LA,,09/08/2022,LA,BUF
